Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Offerable,Hazmat,Condition,Cost Per Item,SKU,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5,Image URL 6,Image URL 7,Image URL 8
Beauty,Fragrances,CP - Musc blanc,,200,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP - Myway,,83,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP - Supreme,,29,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP Aicha,"- CP Aicha 50 ml Les Parfums d'Igor est un parfum oriental au caractère olfactif sucré et boisé.

Dès la première vaporisation, ce parfum dévoile des notes fraîches d'essence de bergamote et de citron, apportant une ouverture vive et pétillante. Le cœur de la fragrance s'épanouit avec l'essence de patchouli et l'absolu de fleur d'oranger, offrant une profondeur florale et épicée. En fond, l'ambre et la vanille se mêlent pour créer une base chaleureuse et enveloppante.

Genre et personnalité du parfum : mixte, élégant, captivant.

Occasion et type de personne : convient pour les soirées et occasions spéciales, idéal pour ceux qui recherchent une fragrance orientale moderne et raffinée.

Note de tête : essence de bergamote, essence de citron.

Note de cœur : essence de patchouli, absolu de fleur d'oranger.

Note de fond : ambre, vanille.

Fabricant

Les Parfums d'Igor

adresse du fabricant à ajouter

[numéro de téléphone à ajouter] | [adresse email à ajouter]",300,Auction,7,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP Baccarat,"- CP Baccarat 50ml Collection Privée est un eau de parfum au caractère olfactif floral, épicé, ambré et boisé.

Cette fragrance unisexe s'ouvre sur des notes de tête aériennes de jasmin et de safran, suivies d'un cœur chaleureux d'ambre gris et de bois de cèdre, pour se fondre en un fond enveloppant d'ambre gris.

Genre et personnalité du parfum : unisexe, élégant, raffiné.

Occasion et type de personne : soirée, profil sophistiqué.

Note de tête : jasmin, safran.

Note de cœur : ambre gris, bois de cèdre.

Note de fond : ambre gris.

Fabricant

Collection Privée

adresse du fabricant à ajouter

[numéro de téléphone à ajouter] | [adresse email à ajouter]",0,Auction,9,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP Blanc - Sucre noir,,81,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP Madawi,"- CP blanc - Madawi 50 ml Parfums CP est un extrait de parfum au caractère olfactif fruité et floral.
- Ce parfum s'ouvre sur des notes lumineuses de pêche et de fleur de pommier, suivies d'un cœur exotique de fleur d'ananas, et se termine sur une base douce de musc, rose sauvage et patchouli.
- Genre et personnalité du parfum : mixte, élégant, raffiné.
- Occasion et type de personne : toutes occasions, pour les personnes recherchant une fragrance sophistiquée et unique.

Note de tête : pêche, fleur de pommier
Note de cœur : fleur d'ananas
Note de fond : musc, rose sauvage, patchouli

Fabricant

Parfums CP
adresse du fabricant à ajouter
[numéro de téléphone à ajouter] | [adresse email à ajouter]",29,Auction,9,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP blanc - Crême brulée,,10,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,CP blanc - Robe noire,,22,Auction,1,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,French Avenue - Liquid Brun,,36,Auction,43,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Gris Montaigne - Monaco,"- Gris Montaigne Monaco 75 ml Gris Montaigne est un extrait de parfum au caractère olfactif oriental et gourmand.
- Cette fragrance envoûtante s'ouvre sur des notes sucrées et fruitées, enrichies d'une touche de caramel, offrant une sensation de douceur immédiate. Son cœur dévoile des accords chauds d'ambre, d'épices et de vanille, apportant profondeur et sensualité. Enfin, sa base boisée et balsamique, mêlée de cuir et d'oud, confère au parfum une intensité durable et raffinée.
- Genre et personnalité du parfum : unisexe, élégant, sensuel.
- Occasion et type de personne : soirées spéciales, profils sophistiqués.

- Note de tête : sucré, fruité, caramel.
- Note de cœur : ambre, épicé chaud, vanille.
- Note de fond : boisé balsamique, baumé, cuir, oud.

Fabricant : Maison GRIS MONTAIGNE PARIS
Adresse : 102 Avenue des Champs‑Élysées, 75008 Paris, France
Téléphone : Non communiqué publiquement (à compléter si tu as un numéro direct)
Email : contact@grismontaigne.fr",144,Auction,9,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Gris Montaigne - Nuage Sucré,"- Gris Montaigne - Nuage Sucré 12ml Gris Montaigne est un parfum au caractère olfactif sucré et gourmand.
- Ce musc blanc délicat enveloppe la peau d'une douceur sucrée, évoquant des souvenirs d'enfance et des moments réconfortants.
- Genre et personnalité du parfum : féminin, doux, réconfortant.
- Occasion et type de personne : quotidien, profil sensible aux senteurs sucrées et légères.

Note de tête : aromatique
Note de cœur : florale
Note de fond : musquée

Fabricant : Maison GRIS MONTAIGNE PARIS
Adresse : 102 Avenue des Champs‑Élysées, 75008 Paris, France
Téléphone : Non communiqué publiquement (à compléter si tu as un numéro direct)
Email : contact@grismontaigne.fr",72,Auction,9,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Gris Montaigne - Pomme d'amour,"- Gris Montaigne Pomme d'amour 50 ml Gris Montaigne Paris est un parfum au caractère olfactif non renseigné.
Ce parfum offre une expérience sensorielle unique, enveloppant la peau d'une fragrance délicate et envoûtante.

Gourmand, Fruité, Sucré, Caramel

Fabricant

Gris Montaigne Paris
102 avenue des Champs-Élysées 75008 Paris
Contact : +33 6 99 68 92 90 | contact@grismontaigne.fr",40,Auction,9,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Gris Montaigne - Tahara,"- Musc Tahara 12ml Gris Montaigne est un parfum de peau au caractère olfactif musqué, floral et aromatique.

Ce parfum délicat s'ouvre sur des notes aromatiques fraîches, offrant une sensation de pureté immédiate. Son cœur dévoile des accords floraux subtils, évoquant la tendresse et la féminité. La base est dominée par le musc blanc, apportant une chaleur intime et soyeuse qui reste sur la peau comme une caresse.

Genre et personnalité du parfum : féminin, délicat, raffiné.

Occasion et type de personne : quotidien, profil recherchant une fragrance intime et élégante.

Note de tête : aromatiques fraîches

Note de cœur : accords floraux subtils

Note de fond : musc blanc

Fabricant : Maison GRIS MONTAIGNE PARIS
Adresse : 102 Avenue des Champs‑Élysées, 75008 Paris, France
Téléphone : Non communiqué publiquement (à compléter si tu as un numéro direct)
Email : contact@grismontaigne.fr",72,Auction,9,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Gris Montaigne - Vanilla Candy,"- Gris Montaigne Vanilla Candy 250 ml Gris Montaigne est une brume parfumée au caractère olfactif sucré et gourmand.
- Cette brume enveloppe délicatement la peau d'un nuage fruité et sucré, alliant l'énergie pétillante des fruits rouges à la douceur fondante de la fraise et à une vanille onctueuse, laissant place à un sillage tendre sublimé par un musc blanc velouté et un caramel ambré.
- Genre et personnalité du parfum : féminin, joyeux, réconfortant.
- Occasion et type de personne : quotidien, profil gourmand.

Note de tête : fruits rouges acidulés, accord bonbon sucré
Note de cœur : fraise juteuse, vanille onctueuse
Note de fond : musc blanc, caramel ambré

Fabricant : Maison GRIS MONTAIGNE PARIS
Adresse : 102 Avenue des Champs‑Élysées, 75008 Paris, France
Téléphone : Non communiqué publiquement (à compléter si tu as un numéro direct)
Email : contact@grismontaigne.fr",72,Auction,9,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Gris Montaigne - Vanille Bourbon,"- Gris Montaigne Vanille Bourbon 75 ml Gris Montaigne est un parfum au caractère olfactif gourmand et réconfortant.
Cette fragrance enveloppe la peau d'un voile sucré et crémeux, évoquant la tendresse d'un goûter d'enfance.

Genre et personnalité du parfum : féminin, doux, réconfortant.

Occasion et type de personne : moments de détente, profil gourmand.

Note de tête : Crème anglaise à la vanille, Caramel
Note de cœur : Sucre brûlé, Fève de tonka
Note de fond : Lait de coco, Vanille Bourbon

Fabricant : Maison GRIS MONTAIGNE PARIS
Adresse : 102 Avenue des Champs‑Élysées, 75008 Paris, France
Téléphone : Non communiqué publiquement (à compléter si tu as un numéro direct)
Email : contact@grismontaigne.fr",72,Auction,9,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Asad Bourbon,"- Lattafa Asad Bourbon 100 ml Lattafa Perfumes est un parfum oriental épicé au caractère olfactif chaud et sucré.
- Ce parfum s'ouvre sur des notes de tête de lavande, mirabelle et poivre rose, offrant une entrée fraîche et fruitée. Le cœur dévoile des notes de cacao, noix de muscade et davana, apportant une profondeur chaleureuse et épicée. Enfin, les notes de fond de vanille bourbon, ambre et vétiver confèrent une base douce et boisée, assurant une longue tenue.
- Genre et personnalité du parfum : masculin, élégant, raffiné.
- Occasion et type de personne : soirée, professionnel.

Note de tête : lavande, mirabelle, poivre rose
Note de cœur : cacao, noix de muscade, davana
Note de fond : vanille bourbon, ambre, vétiver

Fabricant

Lattafa Perfumes

Adresse : Emirates Industrial City, Al Sajaa Industrial Area
Sharjah, Émirats Arabes Unis

Email : 
Email (commercial) :",24,Auction,28,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Asad Elixir,"- Lattafa Asad 100 ml Lattafa est un parfum oriental au caractère olfactif riche et envoûtant.

Ce parfum dévoile une composition complexe où les notes épicées et boisées s'entrelacent harmonieusement, offrant une expérience sensorielle profonde et captivante.

Genre et personnalité du parfum : unisexe, intense, mystérieux.

Occasion et type de personne : soirées élégantes, personnes appréciant les fragrances orientales sophistiquées.

Note de tête : piment, rose, safran.

Note de cœur : oud, patchouli, caramel.

Note de fond : ambre, musc, encens, résines, notes boisées.

Fabricant : Lattafa Perfumes Industries LLC
Adresse : P.O. Box 69793, Dubai, United Arab Emirates
Téléphone : +971 4 267 2233
Email : info@lattafa.com",0,Auction,22,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Badee Al Oud Amethyst,"- Badee Al Oud Amethyst 100ml Lattafa est un eau de parfum au caractère olfactif oriental floral boisé.
- Ce parfum s'ouvre sur une note épicée de poivre rose, suivie de la fraîcheur de la bergamote. Son cœur dévoile un bouquet floral composé de rose de Turquie, rose bulgare et jasmin, tandis que sa base chaleureuse mêle oud, ambre et vanille.
- Genre et personnalité du parfum : unisexe, élégant, envoûtant.
- Occasion et type de personne : soirées élégantes, profils sophistiqués.

Note de tête : poivre rose, bergamote
Note de cœur : rose de Turquie, rose bulgare, jasmin
Note de fond : oud, ambre, vanille

Fabricant :
Lattafa Perfumes Industries LLC

Adresse :
P.O. Box 69793
Dubai, United Arab Emirates

Téléphone :
+971 4 267 2233

Email :
info@lattafa.com",120,Auction,29,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Badee Al Oud Honor & Glory,"- Badee Al Oud Honor & Glory 100ml Lattafa Perfumes est un eau de parfum au caractère olfactif oriental, gourmand et épicé.
- Ce parfum s'ouvre sur des notes fruitées et sucrées d'ananas et de crème brûlée, offrant une première impression riche et chaleureuse. Au cœur, des épices telles que la cannelle, le curcuma, le poivre noir et le benjoin apportent profondeur et chaleur, créant une explosion olfactive pleine de caractère. En fond, la vanille veloutée se marie au bois de santal, au bois de cachemire et à la mousse, enveloppant l'atmosphère d'une douceur boisée et sensuelle.
- Genre et personnalité du parfum : mixte, élégant, audacieux.
- Occasion et type de personne : soirées, personnes recherchant une fragrance distinctive et sophistiquée.

Note de tête : ananas, crème brûlée
Note de cœur : cannelle, curcuma, poivre noir, benjoin
Note de fond : vanille, bois de santal, bois de cachemire, mousse

Fabricant :
Lattafa Perfumes Industries LLC

Adresse :
P.O. Box 69793
Dubai, United Arab Emirates

Téléphone :
+971 4 267 2233

Email :
info@lattafa.com",120,Auction,29,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Badee Al Oud Sublime,"- Badee Al Oud Sublime 100ml Lattafa est un parfum unisexe au caractère olfactif boisé et fruité.
- Ce parfum s'ouvre sur des notes fraîches de pomme, litchi et rose, offrant une entrée fruitée et florale. Le cœur dévoile la prune et le jasmin, apportant une dimension plus ronde et élégante. En fond, la vanille, la mousse et le patchouli confèrent une tenue solide et une signature olfactive distinctive.
- Genre et personnalité du parfum : unisexe, élégant, captivant.
- Occasion et type de personne : toutes saisons, pour ceux qui recherchent une fragrance présente et moderne.

Note de tête : pomme, litchi, rose
Note de cœur : prune, jasmin
Note de fond : vanille, mousse, patchouli

Fabricant :
Lattafa Perfumes Industries LLC

Adresse :
P.O. Box 69793
Dubai, United Arab Emirates

Téléphone :
+971 4 267 2233

Email :
info@lattafa.com",72,Auction,29,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Désodorisant Fakhar,"- Lattafa - Désodorisant Fakhar 100 ml est un désodorisant au caractère olfactif boisé et floral.
- Ce parfum s'ouvre sur des notes fruitées et florales, offrant une sensation de fraîcheur et de légèreté.
- Genre et personnalité du parfum : unisex, élégant, raffiné.
- Occasion et type de personne : quotidien, personnes recherchant une fragrance subtile et agréable.

Note de tête : pêche, poire, orange, pomme, cassis
Note de cœur : fleur d'oranger, rose, jasmin sambac
Note de fond : vanille, patchouli, bois de santal, musc

Fabricant

Lattafa Perfumes
Emirates Industrial City, Al Sajaa Industrial, Sharjah, Émirats Arabes Unis",0,Auction,3,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Eclaire pistache,"- Lattaffa - Eclaire Pistache 100 ml Lattafa est un eau de parfum au caractère olfactif gourmand crémeux.
- Ce parfum dévoile une ouverture douce de crème de pistache et de pistaches grillées, évoluant vers un cœur riche de noix de coco, de cacao et de crème fouettée, pour se poser sur une base réconfortante de lait, de vanille et de musc.
- Genre et personnalité du parfum : mixte, doux, raffiné.
- Occasion et type de personne : quotidien, amateur de fragrances gourmandes.

Note de tête : crème de pistache, pistaches grillées  
Note de cœur : noix de coco, cacao, crème fouettée  
Note de fond : lait, vanille, musc

Fabricant

Lattafa Perfumes Industries LLC

Adresse : Emirates Industrial City, Al Sajaa Industrial Area
Sharjah, Émirats Arabes Unis

Email : 
Email (commercial) :",0,Auction,34,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Khamra,"- Lattafa Khamra 100 ml Lattafa Perfumes est un eau de parfum au caractère olfactif oriental épicé.
- Ce parfum dévoile une ouverture fraîche et épicée avec des notes de bergamote, de cannelle et de noix de muscade, suivie d'un cœur gourmand mêlant dattes, praline, tubéreuse et mahonial. La base offre une chaleur boisée et sucrée grâce à la vanille, au fève tonka, au bois d'ambre, à la myrrhe, au benjoin et à l'Akigalawood.
- Genre et personnalité du parfum : unisexe, chaleureux, raffiné.
- Occasion et type de personne : soirée, profil sophistiqué.

Note de tête : bergamote, cannelle, noix de muscade
Note de cœur : dattes, praline, tubéreuse, mahonial
Note de fond : vanille, fève tonka, bois d'ambre, myrrhe, benjoin, Akigalawood

Fabricant

Lattafa Perfumes
adresse du fabricant à ajouter
[numéro de téléphone à ajouter] | [adresse email à ajouter]",36,Auction,35,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Khamra Qahwa,"- Lattafa - Khamrah Qahwa 100 ml est un parfum unisexe au caractère olfactif oriental gourmand.
- Ce parfum s'ouvre sur des notes épicées de cannelle, cardamome et gingembre, offrant une sensation chaleureuse et piquante. Le cœur dévoile des accords sucrés de praline, fruits confits et fleurs blanches, apportant une douceur enveloppante. La base est dominée par le café, la vanille, le fève tonka, le benjoin et le musc, créant une profondeur riche et réconfortante.
- Genre et personnalité du parfum : unisexe, chaleureux, réconfortant.
- Occasion et type de personne : soirées d'hiver, moments cocooning, rendez-vous romantiques, idéal pour ceux qui apprécient les parfums sucrés et intenses.

- Note de tête : cannelle, cardamome, gingembre
- Note de cœur : praline, fruits confits, fleurs blanches
- Note de fond : café, vanille, fève tonka, benjoin, musc

Fabricant

- Lattafa Perfumes
- Casablanca, Maroc
- Contact : +212 661-751877 | contact@lattafa.ma",36,Auction,34,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Qahwa,"- Lattafa - Qawa 100ml est un parfum oriental au caractère olfactif épicé et boisé.

Dès les premières notes, Qawa dévoile une ouverture chaleureuse et épicée, suivie d'un cœur riche et sucré, pour se fondre en un sillage boisé et ambré.

Genre et personnalité du parfum : mixte, chaleureux, envoûtant.

Occasion et type de personne : soirée, profil audacieux.

Note de tête : cannelle, noix de muscade, bergamote.

Note de cœur : dattes, praliné, tubéreuse, mahonial.

Note de fond : vanille, fève de tonka, amberwood, myrrhe, benjoin, bois d’Akigala.

Fabricant

Lattafa Perfumes
Fabricant :
Lattafa Perfumes Industries LLC

Adresse :
P.O. Box 69793
Dubai, United Arab Emirates

Téléphone :
+971 4 267 2233

Email :
info@lattafa.com",36,Auction,34,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Yara,"- Lattafa - Yara 100 ml est un eau de parfum au caractère olfactif oriental vanillé.

Ce parfum dévoile une composition riche et envoûtante, mêlant des notes florales exotiques à des accords gourmands et boisés. L'ouverture s'exprime par la douceur de l'orchidée et de l'héliotrope, rehaussée d'une touche fruitée de mandarine. Le cœur révèle un accord gourmand fusionnant avec des fruits tropicaux, tandis que le fond s'installe sur des notes chaleureuses de vanille, de musc et de bois de santal.

Genre et personnalité du parfum : féminin, doux, sophistiqué.

Occasion et type de personne : quotidien, profil élégant.

Note de tête : orchidée, héliotrope, mandarine

Note de cœur : accord gourmand, fruits tropicaux

Note de fond : vanille, musc, bois de santal

Fabricant

Lattafa Perfumes

Fabricant :
Lattafa Perfumes Industries LLC

Adresse :
P.O. Box 69793
Dubai, United Arab Emirates

Téléphone :
+971 4 267 2233

Email :
info@lattafa.com",0,Auction,20,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa - Yara Candy,"- Lattafa - Yara Candy 100ml est un eau de parfum au caractère olfactif gourmand fruité.
- Ce parfum s'ouvre sur des notes fruitées de mandarine verte et de cassis, évoluant vers un cœur floral de gardénia et de bonbon à la fraise pétillant, pour se conclure sur des accords chaleureux de vanille, musc, ambre et bois de santal.
- Genre et personnalité du parfum : féminin, sucré, élégant.
- Occasion et type de personne : idéal pour les journées ensoleillées, pour les personnes appréciant les fragrances sucrées et sophistiquées.

Note de tête : mandarine verte, cassis
Note de cœur : gardénia, bonbon à la fraise pétillant
Note de fond : vanille, musc, ambre, bois de santal

Fabricant

Lattafa Perfumes Industries LLC

Adresse :
P.O. Box 69793
Dubai, United Arab Emirates

Téléphone :
+971 4 267 2233

Email :
info@lattafa.com",144,Auction,27,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa Asad,"- Lattafa Asad 100 ml Lattafa Perfumes est un eau de parfum au caractère olfactif oriental épicé.
- Ce parfum s'ouvre sur une explosion de poivre noir épicé, adouci par la douceur fruitée de l'ananas et la richesse du tabac. Au cœur, le patchouli apporte une profondeur boisée, équilibré par la chaleur du café et la délicatesse de l'iris. En fond, la vanille et l'ambre créent une base chaleureuse et enveloppante, soutenue par des notes boisées sèches, le benjoin et le labdanum.
- Genre et personnalité du parfum : homme, audacieux, sophistiqué.
- Occasion et type de personne : soirée, profil confiant.

Note de tête : poivre noir, ananas, tabac
Note de cœur : patchouli, café, iris
Note de fond : vanille, ambre, bois sec, benjoin, labdanum

Fabricant : Lattafa Perfumes Industries LLC
Adresse : P.O. Box 69793, Dubai, United Arab Emirates
Téléphone : +971 4 267 2233
Email : info@lattafa.com",72,Auction,22,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa Eclaire – Eau de Parfum Femme/Unisexe 100 ml | Caramel Lacté & Vanille Gourmande – Meilleur Dupe Abordable Giardini di Toscana Bianco Latte,"- Lattafa Eclaire – Eau de Parfum Femme/Unisexe 100 ml est un parfum au caractère olfactif gourmand et floral.
- Ce parfum s'ouvre sur des notes sucrées de caramel, lait et sucre, évoquant une douceur lactée et réconfortante. En cœur, des fleurs blanches délicates se mêlent à la douceur du miel, apportant une touche florale et sucrée. En fond, la vanille, le praliné et le musc offrent une base chaleureuse et enveloppante.
- Genre et personnalité du parfum : féminin, doux, réconfortant.
- Occasion et type de personne : moments quotidiens, profils appréciant les fragrances sucrées et féminines.

Note de tête : Caramel, lait, sucre
Note de cœur : Miel, fleurs blanches
Note de fond : Vanille, praliné, musc

Fabricant

Lattafa Perfumes Ind. L.L.C.
P.O. Box 69793 Sharjah, AE
Contact : +971565368875 | info@lattafa.com",36,Auction,34,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
Beauty,Fragrances,Lattafa – Badee Al Oud Oud For Glory,"Badee Al Oud Oud For Glory de Lattafa est une fragrance orientale intense et sophistiquée qui met à l’honneur la noblesse du bois de oud. Puissant et élégant, ce parfum séduit par son caractère profond et son sillage remarquable, idéal pour les amateurs de parfums riches et affirmés.

Dès l’ouverture, les notes épicées de safran et de muscade s’associent à la fraîcheur aromatique de la lavande, créant un départ captivant et raffiné. Le cœur révèle toute la puissance du parfum avec un bois de oud intense sublimé par la profondeur du patchouli, apportant une dimension mystérieuse et chaleureuse.

En fond, l’oud se mêle au musc et au patchouli pour laisser un sillage durable, oriental et luxueux qui marque les esprits. Élégant et charismatique, Oud For Glory est un parfum mixte idéal pour celles et ceux qui recherchent une fragrance puissante, boisée et sophistiquée.

Fabricant :
Lattafa Perfumes Industries LLC

Adresse :
P.O. Box 69793
Dubai, United Arab Emirates

Téléphone :
+971 4 267 2233

Email :
info@lattafa.com",72,Auction,23,20 to <100 grams,,Not Hazmat,New,,,,,,,,,,
